sf_code,sf_name,tf_code,tf_name,city_id,marketing_area,business_line,rating,comment_count,grading,rate_grade,grade_comment,days_since_last_live
nnv4m8,دیپ سوخاری,2rw6lm,دیپ سوخاری,2,,Restaurant,0,3,Not Enough Comments,No Rating,D,1
27q6m2,کافه رستوران سلوی,21og36,سلوی,2,ولنجک - زعفرانیه,Restaurant,0,5,Not Enough Comments,No Rating,D,1
5owyje,فست فود ونوس,21o368,فست فود ونوس,2,افسریه - آهنگ,Restaurant,7.549774615,39,Not Enough Comments,C,B,17
qye1yd,رستوران بانو,5lzw8w,رستوران بانو,2,هفت تیر - انقلاب - ولیعصر - فردوسی,Restaurant,0,4,Not Enough Comments,No Rating,D,1
gn9d8x,فست فود دولپی (اختیاریه),2lzxyp,دولپی اختیاریه,2,قیطریه-اندرزگو-دولت,Restaurant,7.888048961,40,Not Enough Comments,C,B,1
l28o7e,فاز برگر,2mm941,فاز برگر,2,,Restaurant,9.257566561,128,Not Enough Comments,A,A,1
gnrmer,رستوران ماوی,5zl3np,ماوی,2,فردوس - کاشانی - شهر زیبا,Restaurant,7.438286041,12,Not Enough Comments,C,C,1
85ozyr,ساندویچ بهار,2nlw34,ساندویچ بهار,2,نظام آباد‎‎,Restaurant,0,0,Not Enough Comments,No Rating,D,16
l2dk1k,فست فود جیاوان,5nkrp6,جیاوان,2,سعادت آباد - شهرک غرب,Restaurant,9.853174095,186,Not Enough Comments,A,A,1
l2j2g9,فلافل تمام اتوماتیک هفت چنار,5o13wm,فلافل تمام اتوماتیک هفت چنار,2,,Restaurant,0,4,Not Enough Comments,No Rating,D,1
85do95,کترینگ قاشق طلائی,2w1161,کترینگ قاشق طلایی,2,دریاچه- شهرک گلستان - دهکده المپیک,Restaurant,8.708068666,66,Not Enough Comments,B,B,1
12427y,دیزی تندوری (شعبه فرمانیه),2zkp6r,دیزی تندوری,2,ولنجک - زعفرانیه,Restaurant,8.722356047,137,Not Enough Comments,B,A,1
